"animals,month,unit,geo\time";2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969
"A3132Z,M05_M06,THS_HD,PL";"488.00 ";"464.00 ";"357.00 ";"355.00 ";"402.60 ";"426.24 ";"309.74 ";"325.88 ";"326.95 ";"404.41 ";"301.02 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,RO";"122.60 ";"117.10 ";"119.60 ";"86.30 ";"82.40 ";"83.00 ";"82.20 ";"60.50 ";"56.20 ";"39.50 ";"39.50 ";"50.30 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,RS";"118.00 ";"62.00 ";"81.00 ";"96.00 ";"96.00 ";"112.00 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,SE";"114.04 ";"96.43 ";"78.58 ";"85.57 ";"73.39 ";"81.69 ";"73.88 ";"78.42 ";"57.86 ";"84.98 ";"54.93 ";"62.16 ";"62.81 ";"62.81 ";"65.58 ";"64.00 ";"67.22 ";"51.00 ";"44.60 ";"45.20 ";"57.00 ";"42.10 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,SI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"27.35 ";"22.92 ";30-Jul;"31.28 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,SK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"106.47 ";": ";": ";"49.63 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,UK";"69.00 ";"63.00 ";"65.00 ";"63.00 ";"63.00 ";"69.00 ";"62.00 ";"59.00 ";"52.00 ";"51.00 ";"52.00 ";"50.00 ";"50.00 ";"64.81 ";"58.86 ";"55.02 ";"45.34 ";"41.10 ";"50.80 ";"52.32 ";"57.60 ";"79.88 ";"72.74 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M08,THS_HD,BE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"68.5 ";"91.4 ";"79.0 ";"351.0 ";"81.1 ";"75.6 ";"69.9 ";"41.4 ";"59.1 ";"50.0 ";"32.1 ";22-Aug;"280.0 ";"20.0 ";"24.0 ";"19.0 ";8-Apr;"22.0 ";"24.0 ";11-Feb;20-Mar;11-Jan;"18.0 ";"15.0 ";"16.0 ";"14.0 ";"13.0 ";"13.0 ";"0.0 ";"0.0 ";"0.0 ";"0.0 ";"0.0 ";"0.0 "
"A3132Z,M08,THS_HD,CZ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"50.0 ";"49.0 ";"48.0 ";"52.0 ";"50.0 ";": ";": ";"77.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M08,THS_HD,DE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"365.0 ";"374.2 ";"292.4 ";"277.0 ";"264.9 ";"226.8 ";"212.3 ";"258.7 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M08,THS_HD,DK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"8.0 ";"9.0 ";"10.0 ";"9.0 ";"10.0 ";"9.0 ";"9.0 ";"11.0 ";"9.0 ";"9.0 ";"11.0 ";"10.0 ";"9.0 ";"10.0 ";"10.0 ";"13.0 ";"11.0 ";"12.0 ";"12.0 ";"11.0 ";"13.0 ";"13.0 ";"13.0 ";"14.0 ";"14.0 ";"16.0 ";"15.0 ";"19.0 ";"27.0 ";"24.0 ";"31.0 ";"26.0 ";"30.0 ";"29.0 ";"40.0 ";"23.0 ";": ";": ";": ";": "
"A3132Z,M08,THS_HD,EL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";7-Mar;6-Feb;6-Mar;"9.0 ";"7.0 ";"5.0 ";"6.0 ";"6.0 ";"5.0 ";3-Jul;"5.0 ";4-Feb;"6.0 ";2-Mar;4-May;"8.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M08,THS_HD,ES";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"699.2 ";"805.5 ";"859.4 ";"901.6 ";"702.5 ";"704.2 ";"535.7 ";"427.0 ";"413.8 ";"292.0 ";"327.0 ";"239.0 ";"228.9 ";"220.0 ";"315.4 ";"281.7 ";"290.5 ";"106.7 ";"130.4 ";"114.9 ";"113.4 ";"83.4 ";"87.7 ";"53.1 ";"55.9 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M08,THS_HD,FI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";15-Jun;14-Jul;9-Aug;10-Jun;11-Apr;13-Jan;"0.0 ";"0.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M08,THS_HD,FR";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"283.6 ";"271.4 ";"263.1 ";"264.4 ";"290.7 ";"227.8 ";"188.3 ";"171.6 ";"242.0 ";"154.0 ";"232.0 ";"132.0 ";"154.0 ";"187.0 ";"167.0 ";"189.0 ";"171.0 ";"206.0 ";"160.0 ";"122.0 ";"161.0 ";"297.0 ";"196.0 ";"197.0 ";"144.0 ";"164.0 ";"290.0 ";"305.0 ";"254.0 ";"236.0 "
"A3132Z,M08,THS_HD,HU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"239.0 ";"241.0 ";"235.0 ";"266.0 ";"316.0 ";"379.0 ";"343.0 ";"298.0 ";"351.0 ";"460.0 ";"283.0 ";"264.0 ";"330.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M08,THS_HD,IE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";2-Jun;3-Apr;1-May;"9.0 ";8-Sep;8-Mar;11-Feb;14-Feb;9-Sep;14-Jun;15-Jun;16-Feb;17-Aug;"15.0 ";16-Jan;13-Apr;22-May;21-Apr;16-Jul;"16.0 ";9-Jul;7-May;"7.0 ";6-Sep;"0.0 ";": ";": ";": ";": "
"A3132Z,M08,THS_HD,IT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1340.0 ";"1370.0 ";"1366.0 ";"1443.0 ";"1703.0 ";"1679.8 ";"1586.9 ";"1570.0 ";"1618.5 ";"1467.0 ";"1259.0 ";"1254.0 ";"1268.3 ";"1262.4 ";"1392.1 ";"1003.1 ";"946.4 ";"973.1 ";"978.7 ";"1041.9 ";"1066.0 ";"950.0 ";"994.0 ";"995.0 ";"1065.0 ";"908.0 ";"746.0 ";"810.0 ";"872.0 ";"880.0 "
